Restaurant Name,City,Place Name,Cuisine ,Dining Rating,Delivery Rating,Overall Rating,Dining Votes,Delivery Votes,Average Price,Menu Items,Features
12 To 12 BBQ,Kochi,Panampilly Nagar,Biryani,4.0,4.0,4.0,104,0,276.8978102189781,137,12 to 12 bbq biryani kochi panampilly nagar
1441 Pizzeria,Mumbai,Sion,Desserts,4.0,4.0,4.0,0,0,346.02933333333334,105,1441 pizzeria desserts mumbai sion
4M Biryani House,Hyderabad,Musheerabad,Chinese,4.1,4.2,4.15,0,0,203.76530612244898,98,4m biryani house chinese hyderabad musheerabad
99 Pancakes,Mumbai,Matunga East,Beverages,3.8,4.1,3.9499999999999997,92,659,217.79322784810128,158,99 pancakes beverages mumbai matunga east
A Balaji Santosh Dhaba,Hyderabad,Langer Houz,Chinese,3.7,4.0,3.85,9,974,294.5407407407407,135,a balaji santosh dhaba chinese hyderabad langer houz
A1 Ambur Briyani & Kababs,Chennai,Aminijikarai,Chinese,4.0,3.7,3.85,92,0,257.36842105263156,76,a1 ambur briyani & kababs chinese chennai aminijikarai
A2B - Adyar Ananda Bhavan,Bangalore,Shanti Nagar,"Beverages, Juices",3.6,4.2,3.9000000000000004,137,0,179.77639344262295,183,"a2b - adyar ananda bhavan beverages, juices bangalore shanti nagar"
AB's - Absolute Barbecues,Chennai,T. Nagar,Desserts,4.7,3.7,4.2,0,0,338.53074626865674,67,ab's - absolute barbecues desserts chennai t. nagar
Acme Candy Food,Hyderabad,Malakpet,Desserts,3.911782786885246,3.911782786885246,3.911782786885246,0,0,245.46666666666667,15,acme candy food desserts hyderabad malakpet
Adhiya Beef Biriyani,Chennai,Nungambakkam,Biryani,3.6,3.6,3.6,0,0,161.126582278481,79,adhiya beef biriyani biryani chennai nungambakkam
Agarwal Caterers,Jaipur,Shastri Nagar,Fast Food,3.6,4.3,3.95,54,0,133.74651877133107,293,agarwal caterers fast food jaipur shastri nagar
Agarwal's Desi Khana Khazana,Chennai,Kilpauk,Rajasthani,3.1,4.1,3.5999999999999996,26,484,206.83582089552237,134,agarwal's desi khana khazana rajasthani chennai kilpauk
Akbar Fast Food,Hyderabad,Charminar Area,North Indian,3.1,3.6,3.35,10,0,122.5,4,akbar fast food north indian hyderabad charminar area
Al - Hamoor Arabian Restaurant,Hyderabad,Chandrayanagutta,Desserts,3.8,3.8,3.8,1,116,428.0,5,al - hamoor arabian restaurant desserts hyderabad chandrayanagutta
Al Akbar Fast Food Corner,Hyderabad,Charminar,Beverages,3.9,4.2,4.05,5,0,145.66666666666666,12,al akbar fast food corner beverages hyderabad charminar
Al Baik,Chennai,Egmore,Beverages,3.0,3.5,3.25,48,716,384.21649484536084,97,al baik beverages chennai egmore
Al Faham,Chennai,Vepery,Beverages,3.6,3.6,3.6,117,0,268.3393665158371,221,al faham beverages chennai vepery
Al Farooj Sonu Kabab,Hyderabad,Ghansi Bazaar,North Indian,4.0,3.9,3.95,66,0,198.24324324324326,37,al farooj sonu kabab north indian hyderabad ghansi bazaar
Al Rabea Al Arabi Cafeteria,Hyderabad,Saroor Nagar,Fast Food,3.2,4.4,3.8000000000000003,40,0,165.3783783783784,37,al rabea al arabi cafeteria fast food hyderabad saroor nagar
Al Rabea Mandi House,Hyderabad,Charminar,Mandi,4.3,4.3,4.3,1,198,475.38461538461536,13,al rabea mandi house mandi hyderabad charminar
Al Taza,Kochi,Kaloor,Beverages,4.4,4.4,4.4,367,0,162.5,24,al taza beverages kochi kaloor
Ambaram Fast Food,Chennai,Egmore,Biryani,3.8,3.6,3.7,35,0,136.7391304347826,46,ambaram fast food biryani chennai egmore
Ambika Foods,Hyderabad,Attapur,Momos,3.9,3.9,3.9,0,111,156.7741935483871,93,ambika foods momos hyderabad attapur
Amfah Hotel,Hyderabad,Mehdipatnam,North Indian,4.2,3.7,3.95,129,0,200.0,34,amfah hotel north indian hyderabad mehdipatnam
Amma Ki Rasoi,Jaipur,MI Road,Wraps,3.3,3.3,3.3,0,571,185.57142857142858,35,amma ki rasoi wraps jaipur mi road
Andewalaz,Jaipur,Masala Chowk,Street Food,3.3,4.0,3.65,41,0,175.17757009345794,107,andewalaz street food jaipur masala chowk
Anjappar,Chennai,Parrys,Beverages,3.1,3.8,3.45,74,0,275.05445544554453,202,anjappar beverages chennai parrys
Annamaya,Mumbai,Byculla,Beverages,4.3,4.1,4.199999999999999,187,952,258.0637254901961,204,annamaya beverages mumbai byculla
Apoorva Delicacies,Mumbai,Dadar Shivaji Park,Beverages,3.8,4.1,3.9499999999999997,654,0,244.9418604651163,430,apoorva delicacies beverages mumbai dadar shivaji park
Arabian Central,Hyderabad,Chandrayanagutta,Fast Food,2.9,4.3,3.5999999999999996,8,975,154.4857142857143,35,arabian central fast food hyderabad chandrayanagutta
Arabian Dreams,Kochi,Kadavanthra,Shawarma,2.9,3.6,3.25,11,0,164.05833333333334,120,arabian dreams shawarma kochi kadavanthra
Arabian Food Court,Hyderabad,Falaknuma,Fast Food,4.0,4.0,4.0,0,217,86.25,4,arabian food court fast food hyderabad falaknuma
Arham,Jaipur,Ajmer Highway,Beverages,4.1,4.1,4.1,230,0,229.37412587412587,286,arham beverages jaipur ajmer highway
Armaani Biryani,Chennai,Arumbakkam,Seafood,3.6,3.6,3.6,0,84,351.24,25,armaani biryani seafood chennai arumbakkam
Aromas Cafe & Bistro,Mumbai,Linking Road,Beverages,4.3,4.0,4.15,0,0,355.52525252525254,297,aromas cafe & bistro beverages mumbai linking road
Art Of Biryani,Hyderabad,Kothapet,Desserts,4.0,3.7,3.85,63,0,348.42045454545456,88,art of biryani desserts hyderabad kothapet
Art Of Dum,Mumbai,Worli,Beverages,4.4,4.4,4.4,0,0,553.5977011494252,87,art of dum beverages mumbai worli
Asian Bowls By Zahvi,Goa,Porvorim,Vietnamese,3.911782786885246,3.911782786885246,3.911782786885246,0,3,512.5,4,asian bowls by zahvi vietnamese goa porvorim
Atlanta  Family Resto And Bar,Goa,Porvorim,Ice Cream,3.911782786885246,3.911782786885246,3.911782786885246,0,0,276.65625,160,atlanta  family resto and bar ice cream goa porvorim
Atom-Bomb Quality Kitchen,Goa,Penha de Franca,Sichuan,3.5,3.5,3.5,0,508,312.5869565217391,46,atom-bomb quality kitchen sichuan goa penha de franca
BBQ Master,Chennai,Perambur,Sichuan,3.5,4.1,3.8,4,0,215.98958333333334,96,bbq master sichuan chennai perambur
BOX8 - Desi Meals,Mumbai,Wadala,Beverages,4.1,4.1,4.1,0,0,247.28048780487805,164,box8 - desi meals beverages mumbai wadala
Babal Da Punjabi Dabha,Chennai,Egmore,Beverages,4.4,4.2,4.300000000000001,405,0,273.87114845938373,357,babal da punjabi dabha beverages chennai egmore
Balaji Fast Food,Jaipur,Brahmpuri,Street Food,3.8,3.4,3.5999999999999996,5,708,122.66666666666667,90,balaji fast food street food jaipur brahmpuri
Balaji Santosh Family Dhaba,Hyderabad,Amberpet,Beverages,3.8,4.1,3.9499999999999997,273,0,236.301775147929,169,balaji santosh family dhaba beverages hyderabad amberpet
Bar Malim,Goa,Penha de Franca,Fast Food,3.911782786885246,3.911782786885246,3.911782786885246,0,0,145.58823529411765,68,bar malim fast food goa penha de franca
Barbeque Nation,Hyderabad,Abids,Beverages,4.2,3.8,4.0,34,369,659.5098039215686,51,barbeque nation beverages hyderabad abids
Barista Coffee,Jaipur,C Scheme,Desserts,4.1,4.0,4.05,221,441,210.10204081632654,49,barista coffee desserts jaipur c scheme
Barrack's Grill,Hyderabad,Chandrayanagutta,Beverages,4.1,4.1,4.1,0,403,188.8,50,barrack's grill beverages hyderabad chandrayanagutta
Basant Dhaba,Jaipur,Gopalpura,Beverages,3.0,3.9,3.45,142,0,211.67052023121389,173,basant dhaba beverages jaipur gopalpura
Basheer Bai Biriyani,Chennai,Egmore,Kerala,3.3,3.8,3.55,16,0,173.33333333333334,6,basheer bai biriyani kerala chennai egmore
Baskin Robbins - Ice Cream Desserts,Kochi,Centre Square Mall,Beverages,4.4,4.4,4.4,0,487,219.81117647058824,85,baskin robbins - ice cream desserts beverages kochi centre square mall
Bawarchi,Hyderabad,RTC X roads,Desserts,4.2,4.1,4.15,0,0,165.97087378640776,103,bawarchi desserts hyderabad rtc x roads
Bedi's Naan House,Pune,Dhankawadi,Biryani,3.7,3.6,3.6500000000000004,281,0,160.71014492753622,69,bedi's naan house biryani pune dhankawadi
Bektash Turkishcafe,Kochi,Marad,"Juices, Kebab",4.2,4.2,4.2,621,0,154.83673469387756,147,"bektash turkishcafe juices, kebab kochi marad"
Bell Pepper Pizza,Jaipur,Jhotwara,Beverages,4.1,3.9,4.0,151,666,209.67532467532467,77,bell pepper pizza beverages jaipur jhotwara
Best Belgian Waffle,Pune,Erandwane,Beverages,3.2,4.2,3.7,173,0,214.7462686567164,67,best belgian waffle beverages pune erandwane
Beyondburg Inc,Kochi,Palarivattom,Continental,3.9,4.4,4.15,14,0,305.25,44,beyondburg inc continental kochi palarivattom
Bhosle's Food Court,Goa,Panaji,North Indian,2.7,2.7,2.7,15,1,76.35483870967742,31,bhosle's food court north indian goa panaji
Big Bowl,Pune,Kumar Pacific Mall,Momos,3.8,3.8,3.8,0,305,240.41935483870967,124,big bowl momos pune kumar pacific mall
Big Daddy's,Pune,Salunkhe Vihar Road,Beverages,3.6,3.9,3.75,289,0,289.9032258064516,93,big daddy's beverages pune salunkhe vihar road
Big Fat Momo,Kochi,Kacheripady,Fast Food,4.3,4.1,4.199999999999999,426,0,141.49242424242425,132,big fat momo fast food kochi kacheripady
Biggies Burger,Pune,FC Road,Desserts,4.0,4.2,4.1,102,487,194.65217391304347,92,biggies burger desserts pune fc road
Bikkgane Biryani,Pune,Kothrud,Mughlai,3.8,3.8,3.8,0,0,344.8333333333333,120,bikkgane biryani mughlai pune kothrud
Biriyani Bash,Kochi,Vyttila,Biryani,3.6,3.1,3.35,7,870,184.11764705882354,34,biriyani bash biryani kochi vyttila
Biryani By Kilo,Mumbai,Khar,Kebab,4.2,4.2,4.2,0,0,425.2592753623188,69,biryani by kilo kebab mumbai khar
Biryani Hub,Goa,Porvorim,Desserts,3.911782786885246,3.911782786885246,3.911782786885246,0,0,375.5,20,biryani hub desserts goa porvorim
Bismillah Briyani & Fast Foods,Chennai,Kolathur,Sichuan,3.9,3.8,3.8499999999999996,176,0,206.0863309352518,139,bismillah briyani & fast foods sichuan chennai kolathur
Blue Nile,Pune,Camp Area,Beverages,3.6,4.1,3.8499999999999996,0,0,265.4810996563574,291,blue nile beverages pune camp area
Blue Sea Restaurant,Hyderabad,Basheer Bagh,North Indian,4.1,4.1,4.1,2,940,210.54794520547946,146,blue sea restaurant north indian hyderabad basheer bagh
Blue Sea Tea & Bakery,Hyderabad,Abids,Bakery,3.911782786885246,3.911782786885246,3.911782786885246,0,0,158.0,35,blue sea tea & bakery bakery hyderabad abids
Blue Tokai Coffee Roasters,Mumbai,Mahalaxmi,Desserts,4.3,4.1,4.199999999999999,265,0,296.20679425837324,209,blue tokai coffee roasters desserts mumbai mahalaxmi
Boojee Cafe,Mumbai,Carter Road,Desserts,4.5,4.3,4.4,319,0,355.5900621118012,161,boojee cafe desserts mumbai carter road
Brown Sugar,Jaipur,Axis Mall,Beverages,4.1,4.2,4.15,0,0,231.70496402877697,139,brown sugar beverages jaipur axis mall
BrownBear,Hyderabad,Himayath Nagar,Fast Food,3.6,4.0,3.8,239,0,449.09090909090907,22,brownbear fast food hyderabad himayath nagar
Buhari Special Juice,Kochi,Palarivattom,Beverages,4.0,4.3,4.15,74,0,85.21739130434783,23,buhari special juice beverages kochi palarivattom
Buhari Vintage Hotel,Chennai,Kilpauk,Beverages,3.5,4.1,3.8,101,0,299.0983606557377,183,buhari vintage hotel beverages chennai kilpauk
Burger - Since 1989,Pune,Koregaon Park,Fast Food,4.0,4.3,4.15,0,0,90.0,20,burger - since 1989 fast food pune koregaon park
Burger King,Hyderabad,The Next Galleria Mall,"Beverages, Fast Food",4.1,4.1,4.1,747,0,272.23372013651874,293,"burger king beverages, fast food hyderabad the next galleria mall"
Burger Lane,Jaipur,Raja Park,Fast Food,3.5,3.5,3.5,0,343,121.24880952380951,42,burger lane fast food jaipur raja park
Burger Shack,Jaipur,C Scheme,Beverages,3.9,4.2,4.05,78,0,126.53488372093024,43,burger shack beverages jaipur c scheme
Burger Singh - Big Punjabi Burgers,Jaipur,Raja Park,Fast Food,3.8,4.2,4.0,11,210,222.1262162162162,111,burger singh - big punjabi burgers fast food jaipur raja park
Burger Spot,Kochi,GCDA Shopping Complex,Beverages,3.9,3.8,3.8499999999999996,7,801,306.1034482758621,87,burger spot beverages kochi gcda shopping complex
BurgerMan,Chennai,Egmore,Beverages,4.4,4.3,4.35,56,921,257.0,87,burgerman beverages chennai egmore
Burgeria,Kochi,Kaloor,Beverages,4.0,4.3,4.15,29,0,231.0,38,burgeria beverages kochi kaloor
Burgerino,Pune,Camp Area,Burger,3.5,3.5,3.5,0,234,179.57407407407408,54,burgerino burger pune camp area
Burgs & Fries,Jaipur,Raja Park,Beverages,3.9,3.9,3.9,0,0,278.2312121212121,66,burgs & fries beverages jaipur raja park
